Verjetnost,Radij,Okuženi,Preboleli,Koraki
0.02,0.06,0,1984,151
0.02,0.06,0,1990,154
0.02,0.06,0,1974,119
0.02,0.06,0,1977,139
0.02,0.06,0,1990,115
0.02,0.06,0,1985,123
0.02,0.06,0,1979,150
0.02,0.06,0,1986,124
0.02,0.06,0,1982,116
0.02,0.06,0,1982,149
0.02,0.06,0,1985,125
0.02,0.06,0,1979,148
0.02,0.06,0,1984,136
0.02,0.06,0,1984,160
0.02,0.06,0,1977,122
0.02,0.06,0,1987,143
0.02,0.06,0,1984,136
0.02,0.06,0,1981,120
0.02,0.06,0,1982,136
0.02,0.06,0,1989,137
0.02,0.06,0,1988,150
0.02,0.06,0,1985,151
0.02,0.06,0,1986,114
0.02,0.06,0,1973,142
0.02,0.06,0,1981,140
0.02,0.06,0,1978,116
0.02,0.06,0,1982,136
0.02,0.06,0,1985,131
0.02,0.06,0,1981,156
0.02,0.06,0,1984,143
0.02,0.06,0,1986,134
0.02,0.06,0,1988,113
0.02,0.06,0,1981,134
0.02,0.06,0,1985,131
0.02,0.06,0,1982,165
0.02,0.06,0,1988,160
0.02,0.06,0,1982,173
0.02,0.06,0,1,14
0.02,0.06,0,1989,153
0.02,0.06,0,1989,148
0.02,0.06,0,1987,148
0.02,0.06,0,1979,144
0.02,0.06,0,1988,121
0.02,0.06,0,1984,152
0.02,0.06,0,1982,131
0.02,0.06,0,1985,150
0.02,0.06,0,1982,162
0.02,0.06,0,1979,149
0.02,0.06,0,1979,113
0.02,0.06,0,1988,150
0.02,0.06,0,1987,105
0.02,0.06,0,1984,124
0.02,0.06,0,1974,116
0.02,0.06,0,1979,124
0.02,0.06,0,1980,158
0.02,0.06,0,1986,160
0.02,0.06,0,1974,155
0.02,0.06,0,1984,192
0.02,0.06,0,1985,158
0.02,0.06,0,1986,146
0.02,0.06,0,1991,137
0.02,0.06,0,1987,124
0.02,0.06,0,1982,133
0.02,0.06,0,1982,120
0.02,0.06,0,1982,135
0.02,0.06,0,1988,185
0.02,0.06,0,1980,145
0.02,0.06,0,1982,124
0.02,0.06,0,1991,123
0.02,0.06,0,1987,122
0.02,0.06,0,1975,111
0.02,0.06,0,1983,147
0.02,0.06,0,1978,134
0.02,0.06,0,1987,150
0.02,0.06,0,1989,133
0.02,0.06,0,1979,141
0.02,0.06,0,1970,113
0.02,0.06,0,1989,146
0.02,0.06,0,1993,139
0.02,0.06,0,1990,151
0.02,0.06,0,1992,125
0.02,0.06,0,1976,133
0.02,0.06,0,1991,180
0.02,0.06,0,1979,124
0.02,0.06,0,1977,111
0.02,0.06,0,1989,115
0.02,0.06,0,1985,146
0.02,0.06,0,1989,140
0.02,0.06,0,1982,145
0.02,0.06,0,1988,131
0.02,0.06,0,1981,131
0.02,0.06,0,1990,128
0.02,0.06,0,1981,125
0.02,0.06,0,1982,133
